Word	Tag               
in	O                   
the	O                  
palace	O               
in	O                   
Mogadishu	B+AC0-geo        
when	O                 
the	O                  
attack	O               
occurred	O             
or	O                   
if	O                   
anyone	O               
was	O                  
hurt	O                 
.	O                    
Local	O                
news	O                 
reports	O              
said	O                 
at	O                   
least	O                
five	O                 
mortar	O               
shells	O               
hit	O                  
the	O                  
palace	O               
compound	O             
and	O                  
other	O                
mortars	O              
were	O                 
fired	O                
elsewhere	O            
in	O                   
Mogadishu	B+AC0-geo        
Wednesday	B+AC0-tim        
.	O                    
The	O                  
attacks	O              
occurred	O             
after	O                
the	O                  
government	O           
said	O                 
it	O                   
will	O                 
go	O                   
ahead	O                
with	O                 
a	O                    
reconciliation	O       
conference	O           
to	O                   
which	O                
more	O                 
than	O                 
+ACI-1	CD                  
Somali	B+AC0-gpe           
elders	O               
	                      
warlords	O             
and	O                  
politicians	O          
are	O                  
invited	O              
.	O                    
Iraqi	B+AC0-gpe            
military	O             
officials	O            
say	O                  
tanks	O                
and	O                  
troops	O               
have	O                 
arrived	O              
in	O                   
the	O                  
northern	O             
city	O                 
Mosul	B+AC0-geo            
for	O                  
a	O                    
new	O                  
offensive	O            
against	O              
al	B+AC0-org               
Qaida	I+AC0-org            
in	I+AC0-org               
Iraq	I+AC0-org             
fighters	O             
.	O                    
Officials	O            
will	O                 
not	O                  
say	O                  
how	O                  
many	O                 
troops	O               
have	O                 
arrived	O              
in	O                   
the	O                  
Sunni	B+AC0-geo            
Arab	I+AC0-geo             
and	O                  
Kurdish	B+AC0-geo          
city	O                 
	                      
where	O                
bombings	O             
last	O                 
week	O                 
killed	O               
at	O                   
least	O                
34	O                   
people	O               
and	O                  
wounded	O              
more	O                 
than	O                 
200	O                  
.	O                    
U.S.	B+AC0-gpe             
commanders	O           
have	O                 
not	O                  
explained	O            
how	O                  
American	B+AC0-gpe         
forces	O               
will	O                 
participate	O          
in	O                   
the	O                  
offensive	O            
.	O                    
Officials	O            
say	O                  
al	B+AC0-org               
Qaida	I+AC0-org            
in	I+AC0-org               
Iraq	I+AC0-org             
fighters	O             
have	O                 
fled	O                 
successful	O           
campaigns	O            
against	O              
them	O                 
in	O                   
Anbar	B+AC0-geo            
province	O             
and	O                  
Baghdad	B+AC0-geo          
to	O                   
other	O                
northern	O             
provinces	O            
.	O                    
Mosul	B+AC0-geo            
is	O                   
the	O                  
largest	O              
city	O                 
north	O                
of	O                   
Baghdad	B+AC0-geo          
and	O                  
has	O                  
long	O                 
been	O                 
a	O                    
stronghold	O           
of	O                   
Sunni	B+AC0-org            
militant	O             
fighters	O             
.	O                    
In	O                   
other	O                
violence	O             
	                      
U.S.	B+AC0-gpe             
officials	O            
said	O                 
one	O                  
American	B+AC0-gpe         
soldier	O              
was	O                  
killed	O               
while	O                
on	O                   
patrol	O               
in	O                   
Baghdad	B+AC0-geo          
Sunday	B+AC0-tim           
.	O                    
Egyptian	B+AC0-gpe         
police	O               
have	O                 
arrested	O             
at	O                   
least	O                
16	O                   
members	O              
of	O                   
the	O                  
opposition	O           
Muslim	B+AC0-org           
Brotherhood	I+AC0-org      
as	O                   
parts	O                
of	O                   
the	O                  
country	O              
prepare	O              
for	O                  
parliamentary	O        
runoff	O               
elections	O            
Saturday	B+AC0-tim         
.	O                    
The	O                  
arrests	O              
occurred	O             
Friday	B+AC0-tim           
in	O                   
Alexandria	B+AC0-geo       
.	O                    
A	O                    
spokesman	O            
for	O                  
the	O                  
Brotherhood	B+AC0-org      
said	O                 
the	O                  
arrests	O              
are	O                  
an	O                   
attempt	O              
to	O                   
cut	O                  
the	O                  
Brotherhood	B+AC0-org      
off	O                  
from	O                 
its	O                  
supporters	O           
and	O                  
punishment	O           
for	O                  
winning	O              
parliamentary	O        
seats	O                
in	O                   
earlier	O              
elections	O            
.	O                    
The	O                  
Muslim	B+AC0-org           
Brotherhood	I+AC0-org      
has	O                  
tripled	O              
its	O                  
strength	O             
in	O                   
parliament	O           
in	O                   
recent	O               
elections	O            
	                      
raising	O              
the	O                  
party	O                
's	O                   
total	O                
to	O                   
47	O                   
seats	O                
.	O                    
In	O                   
Saturday	B+AC0-tim         
's	O                   
elections	O            
	                      
voters	O               
will	O                 
cast	O                 
ballots	O              
in	O                   
nine	O                 
provinces	O            
where	O                
no	O                   
candidate	O            
won	O                  
a	O                    
majority	O             
in	O                   
the	O                  
previous	O             
round	O                
of	O                   
voting	O               
.	O                    
The	O                  
Muslim	B+AC0-org           
Brotherhood	I+AC0-org      
is	O                   
banned	O               
as	O                   
a	O                    
political	O            
party	O                
	                      
but	O                  
it	O                   
endorses	O             
so+AC0-called	O            
independent	O          
candidates	O           
whose	O                
allegiance	O           
to	O                   
the	O                  
party	O                
is	O                   
known	O                
to	O                   
voters	O               
.	O                    
Hardline	O             
lawmakers	O            
in	O                   
Pakistan	B+AC0-geo         
's	O                   
North	B+AC0-geo            
West	I+AC0-geo             
Frontier	I+AC0-geo         
Province	I+AC0-geo         
have	O                 
pushed	O               
through	O              
a	O                    
law	O                  
that	O                 
aims	O                 
to	O                   
ensure	O               
+ACIAIgAiACI-	O                 
Islamic	O              
correctness	O          
+ACIAIgAiACI-	O                 
in	O                   
public	O               
places	O               
and	O                  
establishes	O          
a	O                    
morality	O             
police	O               
to	O                   
enforce	O              
decent	O               
behavior	O             
.	O                    
A	O                    
six+AC0-party	O            
coalition	O            
of	O                   
religious	O            
based	O                
parties	O              
	                      
the	O                  
Mutahida	B+AC0-org         
Majlis+AC0-e+AC0-Amal	I+AC0-org    
	                      
dominates	O            
the	O                  
provincial	O           
assembly	O             
	                      
so	O                   
the	O                  
bill	O                 
was	O                  
easily	O               
passed	O               
Thursday	B+AC0-tim         
by	O                   
a	O                    
vote	O                 
of	O                   
68+AC0-34	O                
.	O                    
The	O                  
provincial	O           
governor	O             
must	O                 
still	O                
sign	O                 
the	O                  
bill	O                 
before	O               
it	O                   
becomes	O              
law	O                  
	                      
a	O                    
step	O                 
seen	O                 
only	O                 
as	O                   
a	O                    
formality	O            
.	O                    
The	O                  
proposed	O             
law	O                  
calls	O                
for	O                  
setting	O              
up	O                   
a	O                    
+ACIAIgAiACI-	O                 
religious	O            
police	O               
force	O                
+ACIAIgAiACI-	O                 
to	O                   
make	O                 
sure	O                 
people	O               
adhere	O               
to	O                   
Islamic	O              
values	O               
in	O                   
public	O               
places	O               
	                      
and	O                  
entertainment	O        
outlets	O              
close	O                
during	O               
weekly	O               
Friday	B+AC0-tim           
prayers	O              
.	O                    
Violators	O            
could	O                
be	O                   
jailed	O               
for	O                  
up	O                   
to	O                   
six	O                  
months	O               
.	O                    
The	O                  
opposition	O           
has	O                  
denounced	O            
the	O                  
measure	O              
	                      
comparing	O            
it	O                   
to	O                   
the	O                  
draconian	O            
rule	O                 
of	O                   
the	O                  
former	O               
Taleban	B+AC0-org          
in	O                   
neighboring	O          
Afghanistan	B+AC0-geo      
.	O                    
British	B+AC0-gpe          
police	O               
say	O                  
they	O                 
have	O                 
arrested	O             
a	O                    
man	O                  
who	O                  
dressed	O              
as	O                   
suicide	O              
bomber	O               
at	O                   
a	O                    
demonstration	O        
against	O              
the	O                  
publication	O          
of	O                   
cartoons	O             
depicting	O            
Islam	B+AC0-org            
's	O                   
Prophet	B+AC0-per          
Muhammad	I+AC0-per         
.	O                    
Bedfordshire	B+AC0-gpe     
police	O               
said	O                 
Tuesday	B+AC0-tim          
that	O                 
Omar	B+AC0-per             
Khayam	I+AC0-per           
was	O                  
arrested	O             
in	O                   
Bedford	B+AC0-geo          
for	O                  
breaching	O            
the	O                  
conditions	O           
of	O                   
his	O                  
parole	O               
.	O                    
Police	O               
said	O                 
the	O                  
British	B+AC0-org          
Home	I+AC0-org             
Office	I+AC0-org           
sought	O               
an	O                   
investigation	O        
of	O                   
Khayam	B+AC0-per           
's	O                   
behavior	O             
after	O                
he	O                   
was	O                  
photographed	O         
last	O                 
week	O                 
at	O                   
a	O                    
demonstration	O        
dressed	O              
in	O                   
fatigues	O             
	                      
a	O                    
black	O                
cap	O                  
	                      
and	O                  
a	O                    
bulky	O                
belt	O                 
.	O                    
A	O                    
Home	B+AC0-org             
Office	I+AC0-org           
spokesman	O            
told	O                 
the	O                  
Associated	B+AC0-org       
Press	I+AC0-org            
that	O                 
if	O                   
the	O                  
behavior	O             
of	O                   
a	O                    
paroled	O              
offender	O             
gives	O                
cause	O                
for	O                  
concern	O              
	                      
he	O                   
can	O                  
be	O                   
sent	O                 
back	O                 
to	O                   
prison	O               
.	O                    
The	O                  
AP	B+AC0-org               
also	O                 
reports	O              
Khayam	B+AC0-per           
has	O                  
been	O                 
on	O                   
parole	O               
from	O                 
prison	O               
since	O                
last	O                 
year	O                 
after	O                
serving	O              
half	O                 
his	O                  
six+AC0-year	O             
sentence	O             
for	O                  
drug	O                 
dealing	O              
.	O                    
Pakistani	B+AC0-gpe        
officials	O            
say	O                  
unidentified	O         
gunmen	O               
have	O                 
killed	O               
three	O                
people	O               
	                      
including	O            
a	O                    
former	O               
government	O           
minister	O             
	                      
in	O                   
a	O                    
semi+AC0-autonomous	O      
tribal	O               
region	O               
bordering	O            
Afghanistan	B+AC0-geo      
.	O                    
The	O                  
officials	O            
say	O                  
prominent	O            
tribal	O               
leader	O               
Malik	B+AC0-per            
Faridullah	I+AC0-per       
Khan	I+AC0-per             
was	O                  
traveling	O            
in	O                   
South	B+AC0-geo            
Waziristan	I+AC0-geo       
Sunday	B+AC0-tim           
when	O                 
his	O                  
vehicle	O              
was	O                  
ambushed	O             
in	O                   
the	O                  
Kani	B+AC0-geo             
Wam	I+AC0-geo              
area	O                 
.	O                    
His	O                  
driver	O               
and	O                  
a	O                    
tribal	O               
elder	O                
were	O                 
also	O                 
killed	O               
.	O                    
No	O                   
one	O                  
has	O                  
claimed	O              
responsibility	O       
for	O                  
the	O                  
killings	O             
.	O                    
The	O                  
ambush	O               
came	O                 
a	O                    
day	O                  
after	O                
a	O                    
commander	O            
of	O                   
Pakistani	B+AC0-gpe        
troops	O               
said	O                 
the	O                  
army	O                 
has	O                  
almost	O               
completely	O           
eliminated	O           
militants	O            
in	O                   
South	B+AC0-geo            
Waziristan	I+AC0-geo       
.	O                    
The	O                  
area	O                 
became	O               
a	O                    
refuge	O               
for	O                  
many	O                 
al+AC0-Qaida	B+AC0-org         
and	O                  
Taleban	B+AC0-org          
fighters	O             
after	O                
the	O                  
Taleban	B+AC0-org          
government	O           
was	O                  
ousted	O               
in	O                   
Afghanistan	B+AC0-geo      
in	O                   
2001	B+AC0-tim             
.	O                    
A	O                    
senior	O               
Pakistani	B+AC0-gpe        
military	O             
official	O             
says	O                 
Pakistan	B+AC0-gpe         
wants	O                
to	O                   
put	O                  
what	O                 
he	O                   
calls	O                
the	O                  
+ACIAIgAiACI-	O                 
sordid	O               
chapter	O              
+ACIAIgAiACI-	O                 
of	O                   
proliferation	O        
by	O                   
one	O                  
of	O                   
its	O                  
top	O                  
scientists	O           
behind	O               
it	O                   
and	O                  
build	O                
civilian	O             
nuclear	O              
ties	O                 
with	O                 
the	O                  
United	B+AC0-gpe           
States	I+AC0-gpe           
.	O                    
But	O                  
he	O                   
says	O                 
Pakistan	B+AC0-gpe         
is	O                   
not	O                  
ready	O                
to	O                   
make	O                 
the	O                  
nuclear	O              
scientist	O            
	                      
Abdul	B+AC0-per            
Qadeer	I+AC0-per           
Khan	I+AC0-per             
	                      
available	O            
for	O                  
direct	O               
questioning	O          
over	O                 
his	O                  
sale	O                 
of	O                   
nuclear	O              
parts	O                
and	O                  
secrets	O              
to	O                   
states	O               
including	O            
Iran	B+AC0-gpe             
	                      
Libya	B+AC0-gpe            
and	O                  
North	B+AC0-gpe            
Korea	I+AC0-gpe            
.	O                    
He	O                   
said	O                 
there	O                
are	O                  
reasons	O              
of	O                   
national	O             
sensitivities	O        
for	O                  
not	O                  
making	O               
him	O                  
available	O            
.	O                    
The	O                  
Pakistani	B+AC0-gpe        
official	O             
was	O                  
giving	O               
a	O                    
background	O           
briefing	O             
to	O                   
a	O                    
small	O                
group	O                
of	O                   
reporters	O            
in	O                   
Washington	B+AC0-geo       
.	O                    
Khan	B+AC0-per             
admitted	O             
in	O                   
2004	B+AC0-tim             
that	O                 
he	O                   
operated	O             
a	O                    
worldwide	O            
clandestine	O          
network	O              
to	O                   
sell	O                 
nuclear	O              
technology	O           
in	O                   
the	O                  
black	O                
market	O               
.	O                    
He	O                   
was	O                  
placed	O               
under	O                
house	O                
arrest	O               
in	O                   
Islamabad	B+AC0-geo        
	                      
but	O                  
not	O                  
jailed	O               
because	O              
he	O                   
is	O                   
considered	O           
the	O                  
father	O               
of	O                   
Pakistan	B+AC0-geo         
's	O                   
nuclear	O              
bomb	O                 
.	O                    
U.S.	B+AC0-gpe             
Army	B+AC0-org             
officials	O            
said	O                 
Wednesday	B+AC0-tim        
that	O                 
they	O                 
will	O                 
not	O                  
renew	O                
a	O                    
controversial	O        
multi+AC0-billion	O        
dollar	O               
contract	O             
with	O                 
the	O                  
Halliburton	B+AC0-org      
company	O              
to	O                   
provide	O              
logistical	O           
support	O              
to	O                   
U.S.	B+AC0-gpe             
troops	O               
in	O                   
Iraq	B+AC0-geo             
and	O                  
elsewhere	O            
.	O                    
Halliburton	B+AC0-org      
has	O                  
been	O                 
providing	O            
a	O                    
long	O                 
list	O                 
of	O                   
services	O             
	                      
from	O                 
meals	O                
to	O                   
communication	O        
	                      
for	O                  
the	O                  
military	O             
for	O                  
several	O              
years	O                
.	O                    
Critics	O              
of	O                   
Halliburton	B+AC0-org      
include	O              
auditors	O             
and	O                  
congressional	O        
Democrats	O            
.	O                    
They	O                 
say	O                  
the	O                  
company	O              
has	O                  
produced	O             
some	O                 
shoddy	O               
work	O                 
and	O                  
charges	O              
too	O                  
much	O                 
money	O                
.	O                    
The	O                  
company	O              
strongly	O             
denies	O               
the	O                  
allegations	O          
.	O                    
When	O                 
the	O                  
huge	O                 
contract	O             
is	O                   
put	O                  
out	O                  
for	O                  
re+AC0-bidding	O           
	                      
several	O              
companies	O            
will	O                 
get	O                  
a	O                    
chance	O               
to	O                   
compete	O              
for	O                  
portions	O             
of	O                   
the	O                  
work	O                 
.	O                    
Representatives	O      
from	O                 
the	O                  
Asia	B+AC0-org             
Pacific	I+AC0-org          
Economic	I+AC0-org         
Cooperation	I+AC0-org      
Business	I+AC0-org         
Advisory	I+AC0-org         
Council	I+AC0-org          
are	O                  
holding	O              
meetings	O             
this	O                 
week	O                 
to	O                   
finalize	O             
their	O                
annual	O               
report	O               
for	O                  
APEC	B+AC0-org             
leaders	O              
who	O                  
will	O                 
hold	O                 
a	O                    
summit	O               
on	O                   
September	B+AC0-tim        
8	I+AC0-tim                
and	O                  
9	B+AC0-tim                
.	O                    
VOA	B+AC0-org              
's	O                   
Nancy+AC0-Amelia	B+AC0-per     
Collins	I+AC0-per          
reports	O              
from	O                 
Sydney	B+AC0-geo           
.	O                    
Energy	O               
	                      
security	O             
	                      
climate	O              
change	O               
	                      
the	O                  
World	B+AC0-org            
Trade	I+AC0-org            
Organization	I+AC0-org     
's	O                   
stalled	O              
negotiations	O         
	                      
and	O                  
investment	O           
are	O                  
all	O                  
expected	O             
to	O                   
be	O                   
among	O                
the	O                  
major	O                
topics	O               
in	O                   
the	O                  
annual	O               
report	O               
of	O                   
the	O                  
APEC	B+AC0-org             
Business	I+AC0-org         
Advisory	I+AC0-org         
Council	I+AC0-org          
	                      
known	O                
as	O                   
ABAC	B+AC0-org             
.	O                    
Tim	B+AC0-per              
Harcourt	I+AC0-per         
	                      
the	O                  
chief	O                
economist	O            
of	O                   
the	O                  
Australian	B+AC0-org       
Trade	I+AC0-org            
Commission	I+AC0-org       
	                      
says	O                 
ABAC	B+AC0-org             
plays	O                
an	O                   
important	O            
role	O                 
by	O                   
informing	O            
governments	O          
where	O                
there	O                
are	O                  
problems	O             
.	O                    
+ACIAIgAiACI-	O                 
The	O                  
most	O                 
important	O            
thing	O                
the	O                  
business	O             
groups	O               
can	O                  
do	O                   
is	O                   
to	O                   
tell	O                 
the	O                  
governments	O          
where	O                
there	O                
are	O                  
logjams	O              
	                      
where	O                
there	O                
are	O                  
obstacles	O            
	                      
where	O                
things	O               
can	O                  
improve	O              
	                      
+ACIAIgAiACI-	O                 
Harcourt	B+AC0-per         
said	O                 
.	O                    
+ACIAIgAiACI-	O                 
I	O                    
think	O                
actually	O             
ABAC	B+AC0-org             
has	O                  
played	O               
a	O                    
pretty	O               
good	O                 
leadership	O           
on	O                   
that	O                 
in	O                   
talking	O              
about	O                
trade	O                
facilitation	O         
and	O                  
basically	O            
making	O               
sure	O                 
standards	O            
are	O                  
consistent	O           
and	O                  
harmonious	O           
across	O               
the	O                  
region	O               
.	O                    
+ACIAIgAiACI-	O                 
ABAC	B+AC0-org             
comprises	O            
up	O                   
to	O                   
three	O                
members	O              
of	O                   
the	O                  
private	O              
sector	O               
of	O                   
each	O                 
of	O                   
the	O                  
21	O                   
economies	O            
that	O                 
make	O                 
up	O                   
APEC	B+AC0-org             
.	O                    
It	O                   
meets	O                
three	O                
times	O                
a	O                    
year	O                 
.	O                    
It	O                   
was	O                  
made	O                 
a	O                    
permanent	O            
body	O                 
in	O                   
1995	B+AC0-tim             
to	O                   
provide	O              
an	O                   
independent	O          
business	O             
perspective	O          
within	O               
APEC	B+AC0-org             
.	O                    
Members	O              
represent	O            
a	O                    
range	O                
of	O                   
business	O             
sectors	O              
	                      
including	O            
medium	O               
and	O                  
small	O                
businesses	O           
.	O                    
ABAC	B+AC0-org             
says	O                 
there	O                
is	O                   
a	O                    
need	O                 
for	O                  
businesses	O           
to	O                   
improve	O              
energy	O               
efficiency	O           
and	O                  
to	O                   
encourage	O            
conservation	O         
practices	O            
	                      
and	O                  
is	O                   
expected	O             
to	O                   
include	O              
this	O                 
in	O                   
its	O                  
annual	O               
report	O               
.	O                    
Harcourt	B+AC0-per         
	                      
of	O                   
the	O                  
Australian	B+AC0-org       
Trade	I+AC0-org            
Commission	I+AC0-org       
	                      
says	O                 
the	O                  
ABAC	B+AC0-org             
report	O               
will	O                 
also	O                 
discuss	O              
ways	O                 
to	O                   
enhance	O              
regional	O             
cooperation	O          
.	O                    
+ACIAIgAiACI-	O                 
I	O                    
reckon	O               
they	O                 
'll	O                  
talk	O                 
a	O                    
little	O               
bit	O                  
about	O                
customs	O              
and	O                  
quarantine	O           
	                      
a	O                    
little	O               
bit	O                  
about	O                
having	O               
consistent	O           
security	O             
arrangements	O         
around	O               
the	O                  
region	O               
	                      
+ACIAIgAiACI-	O                 
Harcourt	B+AC0-per         
said	O                 
.	O                    
+ACIAIgAiACI-	O                 
And	O                  
I	O                    
think	O                
they	O                 
'll	O                  
want	O                 
a	O                    
one+AC0-stop	O             
shop	O                 
in	O                   
terms	O                
of	O                   
combining	O            
security	O             
	                      
immigration	O          
	                      
customs	O              
	                      
and	O                  
quarantine	O           
together	O             
+//0A7//9AL///QC9-	+ACI-               
just	O                 
to	O                   
make	O                 
sure	O                 
it	O                   
's	O                   
more	O                 
streamlined	O          
and	O                  
provides	O             
more	O                 
certainty	O            
.	O                    
+ACIAIgAiACI-	O                 
ABAC	B+AC0-org             
is	O                   
the	O                  
only	O                 
non+AC0-governmental	O     
body	O                 
that	O                 
has	O                  
an	O                   
official	O             
role	O                 
and	O                  
formal	O               
dialogue	O             
with	O                 
the	O                  
leaders	O              
of	O                   
the	O                  
APEC	B+AC0-org             
economies	O            
.	O                    
It	O                   
